problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;1;[8, 8, 8];1;100;100;1.68800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;226;3.43698e+01;5.04357e+00;2.75348e+01
train;mlp;1;[8, 8, 8];2;300;200;4.27700e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;226;3.24536e+01;1.18304e+01;8.79016e-01
train;mlp;1;[8, 8, 8];3;500;300;6.81300e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;226;3.15310e+01;-1.72675e+01;1.55481e+01
train;hebbian+synapse+random;1;[8, 8, 8];1;100;100;1.50300e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;904;8.98492e+01;4.57913e+01;4.85253e+01
train;hebbian+synapse+random;1;[8, 8, 8];2;300;200;4.42600e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;904;1.28302e+02;-1.60724e+00;1.36019e+02
train;hebbian+synapse+random;1;[8, 8, 8];3;500;300;7.14100e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;904;1.18641e+02;1.98922e-01;1.23218e+02
train;hebbian+network+random;1;[8, 8, 8];1;100;100;1.22200e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-4.07837e+00;-1.12445e-01;2.36058e-01
train;hebbian+network+random;1;[8, 8, 8];2;300;200;3.52000e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.28531e+02;-5.69454e-02;1.36933e+02
train;hebbian+network+random;1;[8, 8, 8];3;500;300;6.13300e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.21708e+00;5.42684e-01;2.96960e+00
train;freeForm+random;1;[8, 8, 8];1;100;100;2.62700e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;36;-4.36905e+00;1.41845e+00;-4.18886e-02
train;freeForm+random;1;[8, 8, 8];2;300;200;9.57030e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;28;-4.25171e+00;5.42279e-01;8.45359e-02
train;freeForm+random;1;[8, 8, 8];3;500;300;1.79882e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;26;5.31182e+00;-4.99154e-01;1.46636e+01
